sample_name,Reactor,Time,Condition,Batch
E13_120,E13,120,constant,1
E13_144,E13,144,constant,1
E13_168,E13,168,constant,1
E13_192,E13,192,constant,1
E13_216,E13,216,constant,1
E13_288,E13,288,constant,1
E13_336,E13,336,constant,1
E14_120,E14,120,tshifted,1
E14_144,E14,144,tshifted,1
E14_168,E14,168,tshifted,1
E14_192,E14,192,tshifted,1
E14_216,E14,216,tshifted,1
E14_288,E14,288,tshifted,1
E14_336,E14,336,tshifted,1
E15_120,E15,120,constant,1
E15_144,E15,144,constant,1
E15_168,E15,168,constant,1
E15_192,E15,192,constant,1
E15_216,E15,216,constant,1
E15_288,E15,288,constant,1
E15_336,E15,336,constant,1
E16_120,E16,120,tshifted,1
E16_144,E16,144,tshifted,1
E16_168,E16,168,tshifted,1
E16_192,E16,192,tshifted,1
E16_216,E16,216,tshifted,1
E16_288,E16,288,tshifted,1
E16_336,E16,336,tshifted,1
E17_120,E17,120,constant,2
E17_144,E17,144,constant,2
E17_168,E17,168,constant,2
E17_192,E17,192,constant,2
E17_216,E17,216,constant,2
E17_288,E17,288,constant,2
E18_120,E18,120,tshifted,2
E18_144,E18,144,tshifted,2
E18_168,E18,168,tshifted,2
E18_192,E18,192,tshifted,2
E18_216,E18,216,tshifted,2
E18_288,E18,288,tshifted,2
E18_336,E18,336,tshifted,2
E19_120,E19,120,constant,2
E19_144,E19,144,constant,2
E19_168,E19,168,constant,2
E19_192,E19,192,constant,2
E19_216,E19,216,constant,2
E19_288,E19,288,constant,2
E19_336,E19,336,constant,2
E20_120,E20,120,tshifted,2
E20_144,E20,144,tshifted,2
E20_168,E20,168,tshifted,2
E20_192,E20,192,tshifted,2
E20_216,E20,216,tshifted,2
E20_288,E20,288,tshifted,2
E20_336,E20,336,tshifted,2
