"Sample.ID","Reactor","Time.Point","Phase","Time"
"E09_TP01_Exponential","E09","TP01","Exponential",-60
"E10_TP01_Exponential","E10","TP01","Exponential",-60
"E12_TP01_Exponential","E12","TP01","Exponential",-60
"E09_TP02_Exponential","E09","TP02","Exponential",15
"E10_TP02_Exponential","E10","TP02","Exponential",15
"E12_TP02_Exponential","E12","TP02","Exponential",15
"E09_TP03_Exponential","E09","TP03","Exponential",60
"E10_TP03_Exponential","E10","TP03","Exponential",60
"E12_TP03_Exponential","E12","TP03","Exponential",60
"E09_TP04_Exponential","E09","TP04","Exponential",90
"E10_TP04_Exponential","E10","TP04","Exponential",90
"E12_TP04_Exponential","E12","TP04","Exponential",90
"E09_TP05_Exponential","E09","TP05","Exponential",120
"E10_TP05_Exponential","E10","TP05","Exponential",120
"E12_TP05_Exponential","E12","TP05","Exponential",120
"E09_TP06_Exponential","E09","TP06","Exponential",240
"E10_TP06_Exponential","E10","TP06","Exponential",240
"E12_TP06_Exponential","E12","TP06","Exponential",240
"E09_TP07_Stationary","E09","TP07","Stationary",-60
"E10_TP07_Stationary","E10","TP07","Stationary",-60
"E12_TP07_Stationary","E12","TP07","Stationary",-60
"E09_TP08_Stationary","E09","TP08","Stationary",15
"E10_TP08_Stationary","E10","TP08","Stationary",15
"E12_TP08_Stationary","E12","TP08","Stationary",15
"E09_TP09_Stationary","E09","TP09","Stationary",60
"E10_TP09_Stationary","E10","TP09","Stationary",60
"E12_TP09_Stationary","E12","TP09","Stationary",60
"E09_TP10_Stationary","E09","TP10","Stationary",90
"E10_TP10_Stationary","E10","TP10","Stationary",90
"E12_TP10_Stationary","E12","TP10","Stationary",90
"E09_TP11_Stationary","E09","TP11","Stationary",120
"E10_TP11_Stationary","E10","TP11","Stationary",120
"E12_TP11_Stationary","E12","TP11","Stationary",120
"E09_TP12_Stationary","E09","TP12","Stationary",240
"E10_TP12_Stationary","E10","TP12","Stationary",240
"E12_TP12_Stationary","E12","TP12","Stationary",240
