SampleNr,Reactor,Time,Condition,Plate
1,E13,72,constant,plate_1
57,E15,72,constant,plate_1
80,E17,72,pH_drop,plate_1
68,E19,72,pH_drop,plate_1
29,E14,72,temp_shift,plate_1
121,E16,72,temp_shift,plate_2
129,E18,72,more_oxygen,plate_2
46,E20,72,more_oxygen,plate_1
49,E13,76,constant,plate_1
75,E15,76,constant,plate_1
103,E17,76,pH_drop,plate_2
41,E19,76,pH_drop,plate_1
52,E14,76,temp_shift,plate_1
120,E16,76,temp_shift,plate_2
107,E18,76,more_oxygen,plate_2
23,E20,76,more_oxygen,plate_1
71,E13,96,constant,plate_1
56,E15,96,constant,plate_1
12,E17,96,pH_drop,plate_1
86,E19,96,pH_drop,plate_1
5,E14,96,temp_shift,plate_1
98,E16,96,temp_shift,plate_2
37,E18,96,more_oxygen,plate_1
22,E20,96,more_oxygen,plate_1
94,E13,120,constant,plate_1
62,E15,120,constant,plate_1
106,E17,120,pH_drop,plate_2
21,E19,120,pH_drop,plate_1
119,E14,120,temp_shift,plate_2
11,E16,120,temp_shift,plate_1
40,E18,120,more_oxygen,plate_1
114,E20,120,more_oxygen,plate_2
28,E13,124,constant,plate_1
77,E15,124,constant,plate_1
82,E17,124,pH_drop,plate_1
20,E19,124,pH_drop,plate_1
31,E14,124,temp_shift,plate_1
125,E16,124,temp_shift,plate_2
110,E18,124,more_oxygen,plate_2
92,E20,124,more_oxygen,plate_1
27,E13,144,constant,plate_1
61,E15,144,constant,plate_1
105,E17,144,pH_drop,plate_2
70,E19,144,pH_drop,plate_1
55,E14,144,temp_shift,plate_1
102,E16,144,temp_shift,plate_2
39,E18,144,more_oxygen,plate_1
48,E20,144,more_oxygen,plate_1
116,E13,148,constant,plate_2
60,E15,148,constant,plate_1
16,E17,148,pH_drop,plate_1
132,E19,148,pH_drop,plate_2
6,E14,148,temp_shift,plate_1
124,E16,148,temp_shift,plate_2
67,E18,148,more_oxygen,plate_1
113,E20,148,more_oxygen,plate_2
115,E13,152,constant,plate_2
9,E15,152,constant,plate_1
15,E17,152,pH_drop,plate_1
45,E19,152,pH_drop,plate_1
74,E14,152,temp_shift,plate_1
123,E16,152,temp_shift,plate_2
85,E18,152,more_oxygen,plate_1
24,E20,152,more_oxygen,plate_1
26,E13,168,constant,plate_1
59,E15,168,constant,plate_1
65,E17,168,pH_drop,plate_1
88,E19,168,pH_drop,plate_1
118,E14,168,temp_shift,plate_2
101,E16,168,temp_shift,plate_2
18,E18,168,more_oxygen,plate_1
136,E20,168,more_oxygen,plate_2
72,E13,192,constant,plate_1
35,E15,192,constant,plate_1
128,E17,192,pH_drop,plate_2
87,E19,192,pH_drop,plate_1
73,E14,192,temp_shift,plate_1
100,E16,192,temp_shift,plate_2
84,E18,192,more_oxygen,plate_1
135,E20,192,more_oxygen,plate_2
25,E13,216,constant,plate_1
34,E15,216,constant,plate_1
81,E17,216,pH_drop,plate_1
131,E19,216,pH_drop,plate_2
97,E14,216,temp_shift,plate_2
64,E16,216,temp_shift,plate_1
17,E18,216,more_oxygen,plate_1
134,E20,216,more_oxygen,plate_2
93,E13,220,constant,plate_1
8,E15,220,constant,plate_1
104,E17,220,pH_drop,plate_2
44,E19,220,pH_drop,plate_1
30,E14,220,temp_shift,plate_1
10,E16,220,temp_shift,plate_1
109,E18,220,more_oxygen,plate_2
91,E20,220,more_oxygen,plate_1
4,E13,240,constant,plate_1
7,E15,240,constant,plate_1
36,E17,240,pH_drop,plate_1
111,E19,240,pH_drop,plate_2
54,E14,240,temp_shift,plate_1
99,E16,240,temp_shift,plate_2
38,E18,240,more_oxygen,plate_1
133,E20,240,more_oxygen,plate_2
51,E13,264,constant,plate_1
58,E15,264,constant,plate_1
14,E17,264,pH_drop,plate_1
43,E19,264,pH_drop,plate_1
53,E14,264,temp_shift,plate_1
63,E16,264,temp_shift,plate_1
130,E18,264,more_oxygen,plate_2
112,E20,264,more_oxygen,plate_2
3,E13,268,constant,plate_1
33,E15,268,constant,plate_1
127,E17,268,pH_drop,plate_2
42,E19,268,pH_drop,plate_1
117,E14,268,temp_shift,plate_2
122,E16,268,temp_shift,plate_2
108,E18,268,more_oxygen,plate_2
90,E20,268,more_oxygen,plate_1
50,E13,288,constant,plate_1
76,E15,288,constant,plate_1
126,E17,288,pH_drop,plate_2
19,E19,288,pH_drop,plate_1
96,E14,288,temp_shift,plate_2
79,E16,288,temp_shift,plate_1
83,E18,288,more_oxygen,plate_1
47,E20,288,more_oxygen,plate_1
2,E13,312,constant,plate_1
32,E15,312,constant,plate_1
13,E17,312,pH_drop,plate_1
69,E19,312,pH_drop,plate_1
95,E14,312,temp_shift,plate_2
78,E16,312,temp_shift,plate_1
66,E18,312,more_oxygen,plate_1
89,E20,312,more_oxygen,plate_1
